2020-02-23 23:47:20.280  INFO 10201 --- [main] i.g.j.registry.JHipsterRegistryApp       : The following profiles are active: composite,dev,swagger
2020-02-23 23:47:22.653  WARN 10201 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-02-23 23:47:22.758  WARN 10201 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2020-02-23 23:47:24.920 DEBUG 10201 --- [main] i.m.c.u.i.logging.InternalLoggerFactory  : Using SLF4J as the default logging framework
2020-02-23 23:47:30.874 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:92b888dbb08ac163, Subject:CN=CA Disig Root R2, O=Disig a.s., L=Bratislava, C=SK, Issuer:CN=CA Disig Root R2, O=Disig a.s., L=Bratislava, C=SK, Key type:RSA, Length:4096, Cert Id:747175721, Valid from:7/19/12, 9:15 AM, Valid until:7/19/42, 9:15 AM
2020-02-23 23:47:30.876 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA384withECDSA, Serial:7497258ac73f7a54, Subject:CN=AffirmTrust Premium ECC, O=AffirmTrust, C=US, Issuer:CN=AffirmTrust Premium ECC, O=AffirmTrust, C=US, Key type:EC, Length:384, Cert Id:-2080363786, Valid from:1/29/10, 2:20 PM, Valid until:12/31/40, 2:20 PM
2020-02-23 23:47:30.878 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:400000000010f8626e60d, Subject:CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R2, Issuer:CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R2, Key type:RSA, Length:2048, Cert Id:7087067, Valid from:12/15/06, 8:00 AM, Valid until:12/15/21, 8:00 AM
2020-02-23 23:47:30.880 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:da9bec71f303b019, Subject:CN=TrustCor RootCert CA-1, OU=TrustCor Certificate Authority, O=TrustCor Systems S. de R.L., L=Panama City, ST=Panama, C=PA, Issuer:CN=TrustCor RootCert CA-1, OU=TrustCor Certificate Authority, O=TrustCor Systems S. de R.L., L=Panama City, ST=Panama, C=PA, Key type:RSA, Length:2048, Cert Id:1332877130, Valid from:2/4/16, 12:32 PM, Valid until:12/31/29, 5:23 PM
2020-02-23 23:47:30.881 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:25a1dfca33cb5902, Subject:CN=TrustCor RootCert CA-2, OU=TrustCor Certificate Authority, O=TrustCor Systems S. de R.L., L=Panama City, ST=Panama, C=PA, Issuer:CN=TrustCor RootCert CA-2, OU=TrustCor Certificate Authority, O=TrustCor Systems S. de R.L., L=Panama City, ST=Panama, C=PA, Key type:RSA, Length:4096, Cert Id:1646661199, Valid from:2/4/16, 12:32 PM, Valid until:12/31/34, 5:26 PM
2020-02-23 23:47:30.883 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:1d, Subject:CN=Sonera Class2 CA, O=Sonera, C=FI, Issuer:CN=Sonera Class2 CA, O=Sonera, C=FI, Key type:RSA, Length:2048, Cert Id:-572101437, Valid from:4/6/01, 7:29 AM, Valid until:4/6/21, 7:29 AM
2020-02-23 23:47:30.885 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA384withECDSA, Serial:66c9fd7c1bb104c2943e5717b7b2cc81ac10e, Subject:CN=Amazon Root CA 4, O=Amazon, C=US, Issuer:CN=Amazon Root CA 4, O=Amazon, C=US, Key type:EC, Length:384, Cert Id:-1654272513, Valid from:5/26/15, 12:00 AM, Valid until:5/26/40, 12:00 AM
2020-02-23 23:47:30.886 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:1b1fadb620f924d3366bf7c7f18ca059, Subject:OU=Trustis FPS Root CA, O=Trustis Limited, C=GB, Issuer:OU=Trustis FPS Root CA, O=Trustis Limited, C=GB, Key type:RSA, Length:2048, Cert Id:-878780292, Valid from:12/23/03, 12:14 PM, Valid until:1/21/24, 11:36 AM
2020-02-23 23:47:30.888 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA384withRSA, Serial:6e47a9c54b470c0dec33d089b91cf4e1, Subject:CN=GTS Root R1, O=Google Trust Services LLC, C=US, Issuer:CN=GTS Root R1, O=Google Trust Services LLC, C=US, Key type:RSA, Length:4096, Cert Id:-1684052905, Valid from:6/22/16, 12:00 AM, Valid until:6/22/36, 12:00 AM
2020-02-23 23:47:30.889 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:18acb56afd69b6153a636cafdafac4a1, Subject:CN=GeoTrust Primary Certification Authority, O=GeoTrust Inc., C=US, Issuer:CN=GeoTrust Primary Certification Authority, O=GeoTrust Inc., C=US, Key type:RSA, Length:2048, Cert Id:-965345157, Valid from:11/27/06, 12:00 AM, Valid until:7/16/36, 11:59 PM
2020-02-23 23:47:30.891 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:5ec3b7a6437fa4e0, Subject:C=ES, O=ACCV, OU=PKIACCV, CN=ACCVRAIZ1, Issuer:C=ES, O=ACCV, OU=PKIACCV, CN=ACCVRAIZ1, Key type:RSA, Length:4096, Cert Id:-592111236, Valid from:5/5/11, 9:37 AM, Valid until:12/31/30, 9:37 AM
2020-02-23 23:47:30.893 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:0, Subject:CN=Starfield Services Root Certificate Authority - G2, O="Starfield Technologies, Inc.", L=Scottsdale, ST=Arizona, C=US, Issuer:CN=Starfield Services Root Certificate Authority - G2, O="Starfield Technologies, Inc.", L=Scottsdale, ST=Arizona, C=US, Key type:RSA, Length:2048, Cert Id:1964785574, Valid from:9/1/09, 12:00 AM, Valid until:12/31/37, 11:59 PM
2020-02-23 23:47:30.894 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:23456, Subject:CN=GeoTrust Global CA, O=GeoTrust Inc., C=US, Issuer:CN=GeoTrust Global CA, O=GeoTrust Inc., C=US, Key type:RSA, Length:2048, Cert Id:-2028617374, Valid from:5/21/02, 4:00 AM, Valid until:5/21/22, 4:00 AM
2020-02-23 23:47:30.896 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:57cb336fc25c16e6471617e3903168e0, Subject:CN=Network Solutions Certificate Authority, O=Network Solutions L.L.C., C=US, Issuer:CN=Network Solutions Certificate Authority, O=Network Solutions L.L.C., C=US, Key type:RSA, Length:2048, Cert Id:1751576863, Valid from:12/1/06, 12:00 AM, Valid until:12/31/29, 11:59 PM
2020-02-23 23:47:30.897 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:1, Subject:CN=SecureSign RootCA11, O="Japan Certification Services, Inc.", C=JP, Issuer:CN=SecureSign RootCA11, O="Japan Certification Services, Inc.", C=JP, Key type:RSA, Length:2048, Cert Id:2079057034, Valid from:4/8/09, 4:56 AM, Valid until:4/8/29, 4:56 AM
2020-02-23 23:47:30.899 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA384withECDSA, Serial:3cf607a968700eda8b84, Subject:CN=emSign ECC Root CA - G3, O=eMudhra Technologies Limited, OU=emSign PKI, C=IN, Issuer:CN=emSign ECC Root CA - G3, O=eMudhra Technologies Limited, OU=emSign PKI, C=IN, Key type:EC, Length:384, Cert Id:-462931589, Valid from:2/18/18, 6:30 PM, Valid until:2/18/43, 6:30 PM
2020-02-23 23:47:30.900 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:a0142800000014523cf467c00000002, Subject:CN=IdenTrust Public Sector Root CA 1, O=IdenTrust, C=US, Issuer:CN=IdenTrust Public Sector Root CA 1, O=IdenTrust, C=US, Key type:RSA, Length:4096, Cert Id:2123370772, Valid from:1/16/14, 5:53 PM, Valid until:1/16/34, 5:53 PM
2020-02-23 23:47:30.902 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:a3da427ea4b1aeda, Subject:CN=Chambers of Commerce Root - 2008, O=AC Camerfirma S.A., SERIALNUMBER=A82743287, L=Madrid (see current address at www.camerfirma.com/address), C=EU, Issuer:CN=Chambers of Commerce Root - 2008, O=AC Camerfirma S.A., SERIALNUMBER=A82743287, L=Madrid (see current address at www.camerfirma.com/address), C=EU, Key type:RSA, Length:4096, Cert Id:-28263924, Valid from:8/1/08, 12:29 PM, Valid until:7/31/38, 12:29 PM
2020-02-23 23:47:30.904 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:fedce3010fc948ff, Subject:CN=Certigna, O=Dhimyotis, C=FR, Issuer:CN=Certigna, O=Dhimyotis, C=FR, Key type:RSA, Length:2048, Cert Id:-788091456, Valid from:6/29/07, 3:13 PM, Valid until:6/29/27, 3:13 PM
2020-02-23 23:47:30.906 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:c9cdd3e9d57d23ce, Subject:CN=Global Chambersign Root - 2008, O=AC Camerfirma S.A., SERIALNUMBER=A82743287, L=Madrid (see current address at www.camerfirma.com/address), C=EU, Issuer:CN=Global Chambersign Root - 2008, O=AC Camerfirma S.A., SERIALNUMBER=A82743287, L=Madrid (see current address at www.camerfirma.com/address), C=EU, Key type:RSA, Length:4096, Cert Id:1271252776, Valid from:8/1/08, 12:31 PM, Valid until:7/31/38, 12:31 PM
2020-02-23 23:47:30.908 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:5480f9a073ed3f004cca89d8e371e64a, Subject:EMAILADDRESS=pki@sk.ee, CN=EE Certification Centre Root CA, O=AS Sertifitseerimiskeskus, C=EE, Issuer:EMAILADDRESS=pki@sk.ee, CN=EE Certification Centre Root CA, O=AS Sertifitseerimiskeskus, C=EE, Key type:RSA, Length:2048, Cert Id:1016946801, Valid from:10/30/10, 10:10 AM, Valid until:12/17/30, 11:59 PM
2020-02-23 23:47:30.911 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:50946cec18ead59c4dd597ef758fa0ad, Subject:CN=XRamp Global Certification Authority, O=XRamp Security Services Inc, OU=www.xrampsecurity.com, C=US, Issuer:CN=XRamp Global Certification Authority, O=XRamp Security Services Inc, OU=www.xrampsecurity.com, C=US, Key type:RSA, Length:2048, Cert Id:-952474086, Valid from:11/1/04, 5:14 PM, Valid until:1/1/35, 5:37 AM
2020-02-23 23:47:30.913 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:67c8e1e8e3be1cbdfc913b8ea6238749, Subject:CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, ST=Western Cape, C=ZA, Issuer:CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, ST=Western Cape, C=ZA, Key type:RSA, Length:1024, Cert Id:-1032800436, Valid from:1/1/97, 12:00 AM, Valid until:1/1/21, 11:59 PM
2020-02-23 23:47:30.915 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:56b629cd34bc78f6, Subject:CN=SSL.com EV Root Certification Authority RSA R2, O=SSL Corporation, L=Houston, ST=Texas, C=US, Issuer:CN=SSL.com EV Root Certification Authority RSA R2, O=SSL Corporation, L=Houston, ST=Texas, C=US, Key type:RSA, Length:4096, Cert Id:1381862403, Valid from:5/31/17, 6:14 PM, Valid until:5/30/42, 6:14 PM
2020-02-23 23:47:30.916 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:36122296c5e338a520a1d25f4cd70954, Subject:EMAILADDRESS=premium-server@thawte.com, CN=Thawte Premium Server CA, OU=Certification Services Division, O=Thawte Consulting cc, L=Cape Town, ST=Western Cape, C=ZA, Issuer:EMAILADDRESS=premium-server@thawte.com, CN=Thawte Premium Server CA, OU=Certification Services Division, O=Thawte Consulting cc, L=Cape Town, ST=Western Cape, C=ZA, Key type:RSA, Length:1024, Cert Id:857909202, Valid from:8/1/96, 12:00 AM, Valid until:1/1/21, 11:59 PM
2020-02-23 23:47:30.918 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA1withRSA, Serial:3c9131cb1ff6d01b0e9ab8d044bf12be, Subject:OU=Class 3 Public Primary Certification Authority, O="VeriSign, Inc.", C=US, Issuer:OU=Class 3 Public Primary Certification Authority, O="VeriSign, Inc.", C=US, Key type:RSA, Length:1024, Cert Id:118031811, Valid from:1/29/96, 12:00 AM, Valid until:8/2/28, 11:59 PM
2020-02-23 23:47:30.919 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:98a239, Subject:CN=Staat der Nederlanden Root CA - G3, O=Staat der Nederlanden, C=NL, Issuer:CN=Staat der Nederlanden Root CA - G3, O=Staat der Nederlanden, C=NL, Key type:RSA, Length:4096, Cert Id:-1733470677, Valid from:11/14/13, 11:28 AM, Valid until:11/13/28, 11:00 PM
2020-02-23 23:47:30.921 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:445734245b81899b35f2ceb82b3b5ba726f07528, Subject:CN=QuoVadis Root CA 2 G3, O=QuoVadis Limited, C=BM, Issuer:CN=QuoVadis Root CA 2 G3, O=QuoVadis Limited, C=BM, Key type:RSA, Length:4096, Cert Id:696763521, Valid from:1/12/12, 6:59 PM, Valid until:1/12/42, 6:59 PM
2020-02-23 23:47:30.922 DEBUG 10201 --- [main] jdk.event.security                       : X509Certificate: Alg:SHA256withRSA, Serial:33af1e6a711a9a0bb2864b11d09fae5, Subject:CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US, Issuer:CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US, Key type:RSA, Length:2048, Cert Id:1136084297, Valid from:8/1/13, 12:00 PM, Valid until:1/15/38, 12:00 PM
